user_id_raw,T,number_positive_aspects,number_negative_aspects
47806422,Ambivalence,5,5
47951946,Ambivalence,2,1
48023283,Persuasion,4,6
48025053,Persuasion,3,0
48039501,Ambivalence,6,0
48091499,Persuasion,3,1
48092351,Persuasion,2,3
48096562,Change Talk,1,2
48165696,Ambivalence,4,7
48172874,Change Talk,6,5
48181409,Persuasion,4,3
48279129,Change Talk,6,6
48286667,Change Talk,0,5
48375917,Ambivalence,3,5
48397989,Persuasion,4,11
48400297,Persuasion,1,7
48411036,Ambivalence,6,9
48509285,Persuasion,3,2
48526698,Persuasion,1,6
48568070,Ambivalence,5,7
48581192,Ambivalence,4,5
48587745,Change Talk,0,6
48800951,Change Talk,3,1
48859169,Change Talk,0,9
49013856,Change Talk,1,5
49108961,Change Talk,5,8
49129094,Change Talk,0,2
49174608,Persuasion,1,2
49358880,Ambivalence,3,4
49367711,Change Talk,0,6
49502137,Ambivalence,2,6
49516810,Ambivalence,4,6
49602034,Change Talk,0,3
49637726,Ambivalence,5,7
49661123,Persuasion,1,5
49720325,Change Talk,0,6
49751917,Change Talk,0,4
49800864,Ambivalence,6,6
49820445,Change Talk,1,8
49877568,Change Talk,0,4
49935902,Persuasion,2,8
49953811,Ambivalence,4,5
49996190,Persuasion,1,5
50038044,Change Talk,0,5
50040810,Persuasion,1,5
50093772,Persuasion,4,6
50118912,Change Talk,4,7
50137937,Change Talk,2,2
50386992,Ambivalence,6,6
50469412,Persuasion,1,7
50549216,Persuasion,6,4
50562358,Persuasion,7,0
50702181,Persuasion,2,3
50703913,Change Talk,3,0
50748870,Change Talk,0,4
50761537,Ambivalence,2,4
50794213,Ambivalence,6,3
50909259,Ambivalence,8,1
50930583,Persuasion,0,2
50952297,Change Talk,4,10
50962492,Ambivalence,7,14
51005130,Change Talk,6,4
51015282,Persuasion,4,5
51140144,Persuasion,4,3
51199141,Change Talk,0,4
51233705,Ambivalence,1,4
51285202,Persuasion,2,3
51399394,Ambivalence,10,22
51407570,Ambivalence,2,3
51414187,Persuasion,3,2
51579874,Ambivalence,7,10
51605810,Ambivalence,3,5
51634917,Change Talk,0,8
51656142,Ambivalence,4,5
51677639,Persuasion,3,2
51690994,Persuasion,4,9
51703577,Ambivalence,3,8
51732995,Change Talk,5,4
51746472,Persuasion,5,11
51788745,Ambivalence,3,3
51862378,Persuasion,0,4
51875318,Change Talk,3,2
51944304,Ambivalence,4,6
52055478,Persuasion,6,11
52108006,Ambivalence,3,7
52339792,Persuasion,3,2
52365455,Persuasion,4,7
52366006,Persuasion,1,8
52427303,Change Talk,0,5
52461778,Persuasion,4,8
52482550,Ambivalence,8,5
52520973,Change Talk,3,8
52596039,Persuasion,7,4
52678705,Ambivalence,4,7
52719743,Ambivalence,9,8
52735233,Change Talk,4,1
52751122,Ambivalence,7,5
52794429,Ambivalence,3,2
52798989,Ambivalence,5,2
52835836,Persuasion,1,3
52929364,Persuasion,4,9
53006592,Change Talk,5,6
53019459,Change Talk,4,4
53118516,Ambivalence,2,3
53224160,Persuasion,3,3
53252042,Persuasion,4,3
53261304,Ambivalence,5,5
53373219,Change Talk,0,10
53383731,Change Talk,1,9
53528377,Ambivalence,6,6
53536963,Change Talk,7,4
53547764,Persuasion,1,4
53570745,Change Talk,3,3
53657696,Change Talk,1,1
53698604,Change Talk,3,4
53785978,Ambivalence,8,6
53849763,Change Talk,3,4
53850427,Ambivalence,7,4
53862520,Change Talk,0,11
53877090,Persuasion,2,1
53898552,Ambivalence,4,7
53968073,Change Talk,0,3
53981358,Ambivalence,6,6
53985606,Persuasion,2,5
53986384,Persuasion,2,1
54131572,Ambivalence,2,6
54163948,Ambivalence,5,6
54183115,Persuasion,6,2
54183283,Change Talk,3,6
54195277,Persuasion,3,2
54239954,Persuasion,2,5
54279681,Persuasion,0,7
54309977,Persuasion,6,2
54335634,Persuasion,8,8
54348040,Persuasion,4,0
54348690,Change Talk,3,4
54406469,Ambivalence,3,1
54466784,Persuasion,5,4
54481462,Change Talk,3,1
54810924,Change Talk,2,5
54821071,Ambivalence,4,14
54874902,Change Talk,6,7
54978132,Change Talk,7,5
55097489,Persuasion,3,4
55109090,Change Talk,0,6
55231635,Ambivalence,8,6
55264629,Ambivalence,4,4
55272599,Ambivalence,5,7
55285855,Persuasion,3,4
55376290,Persuasion,6,6
55417609,Persuasion,12,2
55423294,Ambivalence,9,14
55430988,Ambivalence,8,10
55465565,Ambivalence,3,5
55529842,Persuasion,5,0
55741501,Change Talk,2,5
55747636,Change Talk,4,7
55751506,Persuasion,1,6
55788479,Persuasion,1,1
55814604,Ambivalence,1,4
55895010,Persuasion,5,0
55903061,Change Talk,0,4
55913160,Change Talk,0,4
55983577,Ambivalence,4,5
56010960,Ambivalence,7,4
56085656,Persuasion,4,6
56177768,Change Talk,0,7
56214902,Persuasion,0,6
56330807,Ambivalence,5,4
56348509,Ambivalence,5,9
56480363,Ambivalence,4,5
56483963,Persuasion,1,5
56518804,Ambivalence,3,3
56592182,Persuasion,5,8
56634874,Change Talk,6,4
56721237,Persuasion,2,0
56773930,Persuasion,3,5
56783020,Persuasion,2,4
56912254,Change Talk,2,4
56942487,Ambivalence,5,7
56955631,Change Talk,1,3
57000212,Change Talk,0,3
57029054,Ambivalence,7,6
57054209,Ambivalence,7,5
57054799,Persuasion,0,5
57190978,Persuasion,2,2
57301789,Persuasion,1,5
57335236,Change Talk,2,2
57355260,Ambivalence,5,4
57450874,Change Talk,3,7
57508376,Ambivalence,3,4
57532963,Ambivalence,6,5
57605160,Persuasion,5,7
57624918,Persuasion,3,10
57642916,Ambivalence,3,6
57675857,Persuasion,2,2
57678645,Persuasion,6,6
57695554,Change Talk,4,2
57737929,Ambivalence,7,7
57766650,Persuasion,4,3
57779293,Persuasion,2,4
57881074,Persuasion,2,6
57930699,Change Talk,2,4
57956762,Persuasion,6,4
57970636,Change Talk,4,5
57994696,Persuasion,5,4
57996303,Change Talk,1,6
58008852,Ambivalence,9,9
58049763,Change Talk,1,7
58154044,Ambivalence,7,4
58166503,Change Talk,0,7
58192543,Persuasion,3,3
58261374,Persuasion,2,5
58289556,Ambivalence,6,4
58300048,Ambivalence,3,4
58377344,Change Talk,4,5
58391092,Persuasion,6,4
58406559,Persuasion,3,9
58419415,Ambivalence,3,4
58448259,Change Talk,0,6
58543845,Ambivalence,11,16
58615788,Change Talk,0,4
58694830,Change Talk,5,4
58698686,Change Talk,1,6
58841972,Change Talk,1,4
59028410,Change Talk,1,11
59030228,Persuasion,3,2
59129265,Persuasion,11,10
59249506,Change Talk,4,8
59284920,Persuasion,3,3
59292319,Change Talk,1,5
59353154,Persuasion,0,4
59365488,Change Talk,0,5
59399102,Change Talk,1,7
59408108,Ambivalence,7,5
59495371,Persuasion,3,1
59509013,Ambivalence,5,8
59541160,Persuasion,0,3
59615859,Ambivalence,6,10
59637277,Ambivalence,6,4
59708063,Change Talk,2,9
59723800,Change Talk,0,6
59734126,Persuasion,3,4
59750951,Persuasion,2,4
59760382,Persuasion,1,7
59893995,Ambivalence,12,12
59915806,Change Talk,0,7
59965801,Persuasion,6,8
60090130,Persuasion,0,4
60093156,Ambivalence,5,3
60152047,Change Talk,3,3
60191407,Change Talk,0,5
60329988,Ambivalence,3,11
60396849,Change Talk,2,4
60406124,Ambivalence,5,3
60444342,Change Talk,3,0
60476328,Persuasion,3,6
60645899,Change Talk,1,5
60661224,Ambivalence,0,6
60755840,Persuasion,2,7
60855479,Change Talk,3,4
60871152,Change Talk,0,6
60881235,Change Talk,0,7
60930050,Change Talk,0,6
61000802,Ambivalence,5,4
61082652,Ambivalence,3,6
61138653,Change Talk,2,7
61161803,Ambivalence,3,7
61215180,Persuasion,6,0
61236302,Change Talk,3,5
61252928,Change Talk,2,4
61254504,Change Talk,1,2
61254576,Persuasion,2,1
61260212,Change Talk,3,6
61285110,Ambivalence,4,5
61335078,Change Talk,0,7
61368173,Ambivalence,3,7
61526386,Persuasion,2,1
61604427,Change Talk,1,7
61654848,Change Talk,4,11
61673433,Change Talk,1,8
61708507,Change Talk,2,6
61734180,Persuasion,2,3
61738618,Ambivalence,3,5
61751343,Change Talk,13,14
61889251,Change Talk,0,8
61936340,Change Talk,3,5
61956348,Ambivalence,2,2
62032687,Change Talk,3,3
62053410,Persuasion,3,11
62059744,Change Talk,0,5
62072487,Persuasion,2,3
62074140,Ambivalence,3,7
62131656,Ambivalence,4,6
62158964,Persuasion,5,8
62235773,Change Talk,0,6
62284385,Ambivalence,4,1
62332635,Change Talk,1,3
62354514,Persuasion,5,7
62366572,Change Talk,4,3
62385850,Ambivalence,3,8
62395546,Ambivalence,6,10
62404162,Persuasion,6,2
62433467,Ambivalence,2,3
62437606,Change Talk,0,7
62513436,Persuasion,4,10
62522668,Change Talk,1,5
62588090,Change Talk,1,3
62733452,Change Talk,0,5
62778481,Persuasion,2,5
62802972,Change Talk,1,6
62855884,Persuasion,7,10
62915727,Persuasion,1,4
63099516,Ambivalence,5,6
63103084,Persuasion,3,5
63107318,Persuasion,5,4
63182836,Persuasion,4,0
63360057,Ambivalence,3,2
63413269,Persuasion,2,7
63432194,Ambivalence,3,5
63503172,Change Talk,3,7
63513354,Persuasion,3,5
63530149,Persuasion,2,3
63530891,Persuasion,0,3
63587671,Persuasion,3,7
63623817,Ambivalence,4,9
63644782,Ambivalence,5,8
63654715,Change Talk,0,10
63680367,Change Talk,4,4
63712271,Persuasion,5,3
63716026,Ambivalence,8,10
63750110,Persuasion,0,10
63761963,Change Talk,2,7
63768690,Ambivalence,2,7
63854663,Ambivalence,5,6
63873811,Persuasion,3,4
63905393,Persuasion,2,2
63914462,Persuasion,3,5
63920949,Persuasion,4,3
63943881,Persuasion,7,8
64001716,Change Talk,4,4
64018690,Persuasion,2,1
64083284,Ambivalence,3,6
64107459,Ambivalence,1,3
64256031,Ambivalence,5,2
64257097,Ambivalence,5,4
64326327,Change Talk,0,10
64415021,Change Talk,8,9
64489391,Change Talk,1,1
64598152,Persuasion,7,1
64632107,Change Talk,7,4
64663304,Ambivalence,15,13
64702496,Persuasion,5,4
64773130,Change Talk,4,7
64815573,Persuasion,8,6
64886283,Persuasion,4,9
64952709,Change Talk,3,9
64955510,Persuasion,2,7
65008489,Ambivalence,5,9
65092035,Persuasion,3,3
65168664,Ambivalence,6,9
65170178,Persuasion,6,4
65233106,Persuasion,8,10
65234287,Persuasion,8,5
65288867,Persuasion,9,8
65334006,Ambivalence,3,2
65347848,Change Talk,3,6
65409494,Ambivalence,9,1
65462647,Persuasion,0,5
65626022,Change Talk,0,1
65681871,Change Talk,0,4
65685801,Persuasion,3,3
65740105,Change Talk,8,8
65752839,Ambivalence,3,3
65787799,Change Talk,4,8
65790026,Ambivalence,4,4
65800441,Persuasion,10,2
65823011,Change Talk,2,3
65837055,Change Talk,1,5
65861037,Change Talk,6,7
66056615,Change Talk,1,6
66137740,Persuasion,2,2
66139069,Change Talk,5,8
66181228,Ambivalence,6,9
66285421,Change Talk,0,5
66327932,Persuasion,4,6
66398734,Persuasion,1,1
66425264,Change Talk,0,8
66427216,Change Talk,3,3
66429769,Persuasion,1,6
66472401,Change Talk,0,4
66540253,Change Talk,3,8
66578099,Persuasion,5,7
66609974,Persuasion,4,2
66798514,Persuasion,1,4
66844870,Change Talk,1,10
66884107,Ambivalence,1,2
66896805,Change Talk,5,0
66896931,Change Talk,3,1
66948625,Ambivalence,3,4
67029227,Change Talk,0,4
67083733,Ambivalence,6,7
67092093,Ambivalence,6,6
67187002,Persuasion,3,3
67381812,Change Talk,2,4
67420118,Change Talk,1,6
67447686,Ambivalence,2,6
67460824,Change Talk,0,9
67513028,Persuasion,1,8
67552889,Persuasion,2,5
67670878,Persuasion,5,5
67732767,Ambivalence,3,6
67744650,Change Talk,0,8
67782285,Change Talk,1,4
67933062,Change Talk,7,5
68024721,Persuasion,2,1
68033030,Persuasion,2,2
68049820,Change Talk,0,2
68114769,Change Talk,0,8
68143025,Ambivalence,7,6
68173432,Ambivalence,2,5
68247723,Change Talk,0,5
68338310,Persuasion,0,5
68410976,Persuasion,6,3
68471945,Change Talk,0,5
68476972,Ambivalence,3,4
68603466,Change Talk,2,6
68608259,Ambivalence,5,8
68636750,Change Talk,2,2
68728502,Persuasion,6,4
68732727,Ambivalence,5,3
68842690,Persuasion,7,7
68884239,Ambivalence,8,8
68918500,Persuasion,5,5
68919971,Persuasion,2,5
68942135,Change Talk,0,7
68963155,Persuasion,1,4
68996316,Ambivalence,4,3
69010166,Change Talk,3,3
69072337,Ambivalence,4,7
69115784,Ambivalence,7,9
69118858,Persuasion,2,3
69163441,Persuasion,6,0
69213942,Change Talk,4,6
69347922,Change Talk,2,5
69358937,Ambivalence,5,14
69411779,Persuasion,4,7
69531757,Change Talk,3,8
69704756,Change Talk,0,5
69811021,Change Talk,0,8
69847664,Ambivalence,3,1
69872646,Persuasion,4,5
69935489,Change Talk,0,5
69988128,Ambivalence,2,5
70005348,Change Talk,1,4
70081473,Change Talk,0,2
70155780,Ambivalence,6,0
70205637,Persuasion,4,2
70215756,Persuasion,4,8
70225802,Change Talk,4,10
70238045,Ambivalence,6,3
70292058,Persuasion,4,2
70357434,Ambivalence,4,9
70394962,Ambivalence,3,8
70398420,Persuasion,3,3
70548468,Persuasion,1,5
70619438,Change Talk,2,7
70633849,Change Talk,0,6
70639475,Change Talk,1,5
70718506,Change Talk,5,6
70730555,Persuasion,7,8
70767194,Change Talk,2,8
70797792,Change Talk,4,5
70940442,Ambivalence,8,8
70951543,Persuasion,4,4
70954597,Persuasion,1,3
70996910,Persuasion,5,5
71012130,Ambivalence,14,15
71075688,Persuasion,4,7
71109115,Change Talk,5,5
71184333,Ambivalence,5,5
71408320,Persuasion,4,9
71418062,Persuasion,3,4
71429386,Persuasion,6,3
71443808,Persuasion,4,7
71456335,Persuasion,3,3
71521289,Ambivalence,5,4
71648484,Change Talk,4,3
71805988,Change Talk,4,1
71951559,Ambivalence,2,5
72024462,Change Talk,3,1
72132107,Persuasion,3,4
72169972,Ambivalence,3,13
72203823,Ambivalence,5,1
72368318,Ambivalence,3,4
72378313,Ambivalence,3,3
72464843,Ambivalence,4,10
72473852,Ambivalence,4,2
72505091,Persuasion,2,3
72517803,Ambivalence,7,7
72556945,Persuasion,0,4
72590897,Persuasion,0,16
72607583,Persuasion,1,4
72618969,Ambivalence,14,4
72710041,Persuasion,7,5
72766283,Persuasion,4,4
72830916,Change Talk,2,5
72949393,Change Talk,0,4
72988667,Change Talk,2,2
73019935,Ambivalence,3,6
73153759,Change Talk,2,4
73194716,Change Talk,1,6
73212814,Change Talk,1,3
73220843,Change Talk,6,4
73275913,Ambivalence,1,1
73363170,Change Talk,3,4
73364606,Persuasion,2,3
73502972,Ambivalence,2,4
73519534,Persuasion,6,5
73587102,Change Talk,0,6
73642632,Persuasion,1,8
73674744,Persuasion,4,3
73679302,Ambivalence,8,10
73682177,Change Talk,4,4
73742707,Change Talk,2,6
73787448,Change Talk,1,4
73837298,Ambivalence,10,8
73848514,Change Talk,1,7
73900420,Ambivalence,4,4
73981914,Ambivalence,4,5
73999531,Ambivalence,4,5
74030806,Persuasion,8,1
74090005,Change Talk,0,5
74099764,Change Talk,3,0
74138342,Change Talk,4,1
74204423,Ambivalence,3,6
74255323,Change Talk,0,1
74376391,Persuasion,0,4
74401939,Ambivalence,11,7
74405626,Change Talk,5,4
74685857,Persuasion,7,7
74723096,Change Talk,1,3
74756141,Change Talk,1,4
74882335,Change Talk,2,12
74939272,Persuasion,5,13
74981786,Persuasion,4,7
74991543,Change Talk,6,5
75023404,Ambivalence,6,7
75024163,Persuasion,3,7
75070896,Persuasion,1,7
75144977,Change Talk,1,7
75258705,Persuasion,5,6
75313251,Persuasion,6,12
75340530,Ambivalence,4,4
75343273,Change Talk,4,4
75372760,Change Talk,0,3
75431803,Change Talk,1,6
75437094,Ambivalence,3,4
75559878,Persuasion,4,6
75572375,Ambivalence,4,15
75682217,Ambivalence,3,6
75701257,Change Talk,5,6
75748705,Ambivalence,1,4
75763464,Persuasion,3,3
75764278,Ambivalence,5,1
75768258,Change Talk,2,4
75838934,Change Talk,0,6
75866246,Persuasion,5,9
75967511,Change Talk,1,8
76022442,Ambivalence,10,7
76176987,Ambivalence,2,4
76368687,Change Talk,4,5
76408922,Ambivalence,4,5
76455616,Change Talk,3,4
76485355,Change Talk,2,5
76547267,Change Talk,4,8
76561142,Change Talk,1,1
76606210,Change Talk,0,8
76636642,Change Talk,0,4
76684834,Change Talk,0,11
76737843,Ambivalence,9,6
76798194,Ambivalence,8,15
76814407,Persuasion,6,3
76940378,Change Talk,0,11
77031973,Change Talk,0,5
77064982,Persuasion,4,4
77070993,Ambivalence,6,2
77081871,Change Talk,1,4
77257957,Ambivalence,7,12
77325137,Change Talk,8,8
77343440,Persuasion,2,4
77388223,Persuasion,11,9
77416385,Ambivalence,3,12
77433360,Change Talk,2,5
77458956,Change Talk,0,8
77473223,Persuasion,0,5
77507573,Change Talk,0,9
77510154,Persuasion,3,5
77639613,Ambivalence,6,7
77759533,Persuasion,4,3
77829110,Persuasion,1,6
77893100,Ambivalence,3,0
77906440,Ambivalence,7,9
77915217,Persuasion,4,5
77981987,Change Talk,3,5
78007472,Change Talk,4,7
78068821,Ambivalence,4,5
78111180,Persuasion,6,2
78126396,Ambivalence,4,6
78153051,Change Talk,3,4
78171938,Persuasion,2,3
78241451,Change Talk,0,5
78247574,Persuasion,2,5
78363721,Persuasion,4,5
78426653,Change Talk,0,3
78488712,Ambivalence,5,3
78548838,Ambivalence,3,7
78556945,Persuasion,3,4
78617062,Ambivalence,5,6
78681084,Change Talk,7,5
78714419,Change Talk,0,5
78767546,Persuasion,10,1
78809736,Ambivalence,5,0
78832977,Change Talk,6,5
78862088,Ambivalence,9,8
78879093,Change Talk,2,3
78894770,Ambivalence,3,11
78951899,Ambivalence,2,3
78961637,Ambivalence,2,2
79050810,Persuasion,5,5
79053884,Change Talk,10,9
79098637,Change Talk,1,11
79126774,Persuasion,4,6
79190693,Change Talk,3,7
79198286,Change Talk,4,4
79199524,Persuasion,2,0
79206277,Persuasion,2,7
79248693,Change Talk,0,9
79287037,Persuasion,1,6
79304243,Change Talk,1,2
79323120,Change Talk,0,6
79333189,Change Talk,7,5
79361902,Persuasion,0,7
79481718,Change Talk,1,5
79511870,Change Talk,4,8
79561429,Persuasion,4,6
79615422,Persuasion,3,10
79671319,Ambivalence,3,6
79672345,Change Talk,5,8
79732711,Ambivalence,8,4
79757730,Persuasion,7,0
79772136,Change Talk,2,2
79774815,Persuasion,7,7
79796109,Change Talk,3,4
79815538,Persuasion,3,0
79859636,Change Talk,0,4
79929270,Change Talk,3,5
80038969,Change Talk,3,5
80042235,Change Talk,1,5
80110328,Persuasion,2,3
80144020,Persuasion,6,5
80168986,Persuasion,2,7
80180388,Persuasion,5,0
80202246,Change Talk,4,8
80218327,Persuasion,5,5
80257136,Persuasion,6,3
80358469,Ambivalence,4,1
80491595,Ambivalence,2,2
80516091,Change Talk,4,4
80567340,Change Talk,3,4
80581864,Ambivalence,7,9
80608403,Change Talk,4,3
80656772,Persuasion,2,3
80662232,Change Talk,0,5
80721606,Change Talk,2,6
80738581,Change Talk,1,6
80946731,Change Talk,0,7
81012267,Ambivalence,8,6
81032192,Change Talk,4,5
81062978,Persuasion,5,6
81074228,Ambivalence,5,7
81077663,Change Talk,0,12
81166420,Change Talk,5,5
81183483,Persuasion,4,3
81191268,Persuasion,2,3
81210858,Ambivalence,6,7
81266716,Change Talk,8,9
81412239,Persuasion,10,7
81527218,Persuasion,1,6
81550193,Persuasion,1,7
81607188,Persuasion,0,8
81615809,Change Talk,0,8
81679924,Ambivalence,2,6
81793620,Change Talk,1,4
81833277,Persuasion,1,8
81866450,Persuasion,2,4
81942889,Change Talk,0,3
81994516,Ambivalence,4,6
81998577,Ambivalence,7,12
82048769,Ambivalence,5,4
82107404,Persuasion,2,4
82144178,Persuasion,4,4
82205832,Persuasion,2,3
82273717,Persuasion,1,6
82277198,Change Talk,0,6
82304103,Ambivalence,4,8
82338576,Change Talk,1,7
82371667,Change Talk,0,7
82382382,Change Talk,0,8
82406634,Persuasion,0,5
82431886,Ambivalence,5,3
82447591,Persuasion,2,3
82490431,Change Talk,4,1
82506993,Change Talk,6,5
82618917,Ambivalence,5,4
82622402,Ambivalence,2,5
82636312,Persuasion,1,3
82746453,Persuasion,0,5
82764912,Change Talk,0,5
82785189,Change Talk,3,5
82819439,Persuasion,3,4
82823850,Ambivalence,5,9
82887723,Persuasion,8,2
82915051,Change Talk,5,5
82925197,Change Talk,0,12
82935680,Change Talk,1,2
82947425,Change Talk,2,2
83033735,Persuasion,5,14
83097641,Persuasion,0,5
83173953,Ambivalence,2,2
83174607,Persuasion,4,6
83207121,Ambivalence,4,10
83209655,Ambivalence,8,8
83213599,Change Talk,1,2
83253055,Ambivalence,4,6
83274718,Persuasion,4,2
83298413,Change Talk,1,5
83349444,Change Talk,0,8
83373105,Ambivalence,6,5
83391707,Persuasion,5,3
83391920,Persuasion,0,4
83440665,Change Talk,1,6
83455285,Change Talk,2,4
83456426,Change Talk,6,3
83558140,Change Talk,8,8
83675723,Ambivalence,4,5
83683815,Ambivalence,3,5
83684704,Change Talk,2,6
83748074,Change Talk,0,9
83854215,Change Talk,1,8
83876795,Change Talk,2,10
83912433,Change Talk,0,6
83928547,Change Talk,0,4
84018095,Change Talk,0,3
84060145,Ambivalence,6,10
84164096,Persuasion,0,5
84216284,Change Talk,0,5
84238611,Change Talk,9,8
84250892,Ambivalence,7,4
84260732,Persuasion,0,1
84290575,Change Talk,1,2
84331013,Change Talk,0,7
84368344,Persuasion,2,5
84378396,Persuasion,2,6
84412699,Change Talk,3,3
84419569,Change Talk,0,2
84479039,Ambivalence,6,5
84505627,Change Talk,0,6
84568329,Ambivalence,6,0
84652900,Change Talk,1,5
84670884,Persuasion,2,7
84753099,Ambivalence,5,4
84772451,Persuasion,1,7
84788186,Ambivalence,6,6
84812547,Ambivalence,4,2
84819796,Change Talk,2,4
84831700,Change Talk,0,2
84861485,Persuasion,2,3
84861667,Persuasion,6,9
84871292,Persuasion,0,4
84945319,Persuasion,3,9
84987978,Ambivalence,5,4
85196325,Ambivalence,3,8
85273425,Ambivalence,7,12
85292120,Ambivalence,5,7
85306659,Persuasion,3,8
85328104,Ambivalence,8,7
85386951,Change Talk,4,4
85524530,Persuasion,5,7
85543568,Persuasion,7,0
85557399,Change Talk,5,8
85588104,Ambivalence,7,13
85627477,Change Talk,0,5
85672762,Ambivalence,3,9
85674054,Persuasion,3,6
85755801,Ambivalence,5,2
85825958,Change Talk,1,4
85832559,Change Talk,0,5
85878474,Persuasion,4,7
85997104,Change Talk,3,5
86068297,Persuasion,0,2
86121606,Ambivalence,4,7
86201601,Change Talk,0,4
86209023,Persuasion,1,2
86219227,Change Talk,0,8
86221443,Change Talk,3,6
86285467,Change Talk,2,1
86317909,Ambivalence,2,8
86319974,Persuasion,2,4
86366366,Ambivalence,6,8
86419672,Change Talk,0,2
86421187,Persuasion,1,5
86446977,Persuasion,3,5
86484599,Change Talk,3,6
86494280,Change Talk,1,7
86604486,Change Talk,0,6
86611547,Ambivalence,7,7
86617461,Persuasion,5,6
86646163,Persuasion,2,4
86686417,Ambivalence,5,7
86780543,Ambivalence,3,5
86784433,Persuasion,3,13
86863776,Ambivalence,4,6
86910018,Persuasion,1,5
86911327,Change Talk,1,1
86998652,Persuasion,2,0
87030848,Change Talk,9,9
87089209,Ambivalence,5,6
87091607,Ambivalence,7,4
87228820,Ambivalence,10,3
87263489,Change Talk,2,4
87376491,Change Talk,0,1
87431419,Change Talk,0,4
87484043,Persuasion,5,4
87495979,Persuasion,3,2
87583710,Change Talk,0,7
87673173,Change Talk,3,7
87782142,Change Talk,1,4
87808398,Change Talk,5,6
87926807,Ambivalence,7,1
87964068,Change Talk,0,2
88004322,Ambivalence,5,4
88029944,Persuasion,3,5
88097263,Ambivalence,6,6
88120841,Ambivalence,13,4
88127621,Persuasion,5,5
88148248,Change Talk,1,4
88172034,Persuasion,2,2
88190019,Ambivalence,4,7
88320591,Ambivalence,3,12
88519021,Ambivalence,3,2
88599948,Change Talk,1,0
88603703,Ambivalence,6,6
88638210,Change Talk,6,7
88679549,Persuasion,4,3
88836872,Ambivalence,10,6
88844782,Change Talk,0,3
88870963,Ambivalence,2,3
88953582,Persuasion,3,6
88992908,Ambivalence,3,0
89011630,Persuasion,1,2
89036267,Change Talk,0,11
89048034,Ambivalence,4,4
89088124,Persuasion,9,2
89123229,Ambivalence,2,5
89144573,Ambivalence,6,16
89172838,Ambivalence,4,8
89302243,Persuasion,2,0
89325146,Ambivalence,4,4
89345206,Ambivalence,3,3
89491027,Persuasion,5,6
89561597,Ambivalence,6,10
89585121,Ambivalence,1,6
89687082,Persuasion,2,4
89750363,Change Talk,3,5
89852470,Change Talk,1,8
89897268,Persuasion,2,7
89951969,Change Talk,2,3
90004191,Persuasion,5,5
90137182,Change Talk,2,8
90219557,Persuasion,1,5
90273906,Change Talk,0,13
90382363,Ambivalence,3,4
90411316,Ambivalence,7,5
90447289,Ambivalence,2,6
90484495,Ambivalence,3,4
90500087,Persuasion,2,3
90500184,Change Talk,1,3
90514876,Ambivalence,4,8
90585191,Ambivalence,5,6
90606633,Ambivalence,5,4
90616368,Ambivalence,6,3
90700453,Ambivalence,5,7
90775215,Change Talk,2,6
90788757,Ambivalence,7,4
90802251,Persuasion,3,8
90861022,Change Talk,1,3
90877943,Persuasion,2,8
90907413,Persuasion,3,3
90969364,Persuasion,6,6
91052870,Change Talk,5,4
91063287,Persuasion,3,0
91138016,Persuasion,2,3
91171078,Persuasion,5,6
91193463,Persuasion,3,7
91202226,Change Talk,8,5
91206762,Persuasion,6,0
91216801,Ambivalence,8,10
91218758,Change Talk,1,6
91254079,Change Talk,4,7
91430859,Ambivalence,5,8
91489130,Change Talk,0,5
91543508,Change Talk,2,3
91593252,Persuasion,5,5
91617082,Ambivalence,7,2
91642195,Persuasion,3,4
91748756,Persuasion,4,6
91805187,Persuasion,2,1
91834923,Ambivalence,7,5
91911845,Ambivalence,2,5
91932477,Persuasion,5,5
91956813,Ambivalence,5,5
91992796,Persuasion,0,3
92046265,Ambivalence,4,5
92058761,Ambivalence,6,7
92160200,Change Talk,0,4
92257650,Ambivalence,8,3
92327372,Ambivalence,4,3
92384710,Ambivalence,5,4
92413923,Ambivalence,5,7
92418459,Change Talk,3,12
92451715,Change Talk,5,1
92479012,Change Talk,2,7
92493828,Persuasion,0,9
92495994,Persuasion,1,7
92497927,Ambivalence,5,8
92599820,Persuasion,3,8
92704012,Change Talk,6,6
92709768,Change Talk,0,9
92746254,Change Talk,2,5
92783732,Change Talk,4,3
92856103,Change Talk,0,4
92927022,Change Talk,5,4
92985500,Persuasion,1,4
93036761,Ambivalence,5,5
93175303,Persuasion,2,4
93195554,Change Talk,1,4
93200722,Ambivalence,10,3
93225575,Persuasion,1,3
93238409,Persuasion,4,2
93238665,Change Talk,2,5
93301285,Persuasion,1,5
93360217,Ambivalence,4,8
93472081,Ambivalence,4,4
93479469,Ambivalence,6,8
93512296,Ambivalence,4,5
93584357,Change Talk,0,4
93616544,Ambivalence,1,0
93620106,Ambivalence,3,5
93644382,Ambivalence,5,1
93646290,Persuasion,6,5
93693257,Ambivalence,7,7
93772966,Ambivalence,4,4
93852214,Ambivalence,2,6
93866209,Ambivalence,2,2
93912720,Ambivalence,5,6
93945470,Persuasion,5,6
94002473,Change Talk,6,8
94008751,Change Talk,4,4
94020548,Ambivalence,6,4
94036655,Change Talk,2,2
94048194,Persuasion,2,3
94050630,Persuasion,1,7
94067556,Persuasion,3,3
94085117,Ambivalence,10,10
94123304,Persuasion,4,1
94148804,Persuasion,6,4
