user_id_raw,T,llm_strategies_openai
20937948,Persuasion,"[""Built-in Tracking/Restriction"", ""Set Rules or Goals""]"
20939203,Ambivalence,"[""Physical Separation"", ""Replace with Other Activities""]"
20998473,Persuasion,"[""Built-in Tracking/Restriction"", ""Physical Separation"", ""Reduce Overall Phone Use"", ""Set Rules or Goals""]"
21066821,Persuasion,"[""Set Rules or Goals""]"
21097321,Persuasion,"[""Built-in Tracking/Restriction"", ""Set Rules or Goals"", ""Willpower and Discipline""]"
21202731,Persuasion,"[""Willpower and Discipline"", ""Set Rules or Goals""]"
21444153,Ambivalence,"[""Built-in Tracking/Restriction"", ""Set Rules or Goals""]"
21513193,Change Talk,"[""Built-in Tracking/Restriction"", ""Reduce Overall Phone Use"", ""Replace with Other Activities"", ""Set Rules or Goals""]"
21523886,Persuasion,"[""Set Rules or Goals""]"
21561078,Ambivalence,"[""Replace with Other Activities""]"
21611899,Persuasion,"[""Set Rules or Goals""]"
21629832,Persuasion,"[""Third-Party Blocker"", ""Set Rules or Goals"", ""Willpower and Discipline""]"
21639632,Ambivalence,"[""Replace with Other Activities""]"
21679967,Persuasion,"[""Delete or Deactivate"", ""Reduce Overall Phone Use"", ""Curate Feed/Content"", ""Set Rules or Goals"", ""Replace with Other Activities"", ""Willpower and Discipline""]"
21697615,Persuasion,"[""Set Rules or Goals""]"
21714839,Change Talk,"[""Physical Separation"", ""Reduce Overall Phone Use"", ""Replace with Other Activities"", ""Set Rules or Goals""]"
21788296,Persuasion,"[""Curate Feed/Content"", ""Set Rules or Goals""]"
21833377,Persuasion,"[""Built-in Tracking/Restriction"", ""Set Rules or Goals"", ""Willpower and Discipline""]"
21861581,Ambivalence,"[""Physical Separation""]"
21872563,Ambivalence,"[""Physical Separation"", ""Reduce Overall Phone Use"", ""Replace with Other Activities"", ""Set Rules or Goals""]"
21958466,Ambivalence,"[""Set Rules or Goals""]"
21966530,Ambivalence,"[""Set Rules or Goals""]"
21991802,Persuasion,"[""Replace with Other Activities"", ""Set Rules or Goals""]"
21994046,Persuasion,"[""Built-in Tracking/Restriction"", ""Set Rules or Goals""]"
22176206,Ambivalence,"[""Delete or Deactivate"", ""Replace with Other Activities"", ""Set Rules or Goals""]"
22257117,Change Talk,"[""Physical Separation"", ""Set Rules or Goals""]"
22350764,Persuasion,"[""Built-in Tracking/Restriction"", ""Reduce Overall Phone Use"", ""Replace with Other Activities"", ""Set Rules or Goals""]"
22487342,Persuasion,"[""Built-in Tracking/Restriction"", ""Set Rules or Goals"", ""Physical Separation""]"
22544335,Ambivalence,"[""Set Rules or Goals""]"
22546092,Ambivalence,"[""Willpower and Discipline""]"
22552857,Ambivalence,"[""Physical Separation""]"
22559150,Change Talk,"[""Physical Separation""]"
22578933,Ambivalence,"[""Set Rules or Goals"", ""Willpower and Discipline""]"
22610803,Change Talk,"[""Built-in Tracking/Restriction"", ""Physical Separation"", ""Set Rules or Goals"", ""Willpower and Discipline""]"
22820592,Change Talk,"[""Built-in Tracking/Restriction"", ""Set Rules or Goals"", ""Willpower and Discipline""]"
22880573,Persuasion,"[""Built-in Tracking/Restriction"", ""Set Rules or Goals"", ""Willpower and Discipline""]"
22908938,Ambivalence,[]
22995312,Ambivalence,"[""Set Rules or Goals"", ""Willpower and Discipline""]"
23150615,Change Talk,"[""Physical Separation""]"
23299390,Ambivalence,"[""Increase Access Friction"", ""Physical Separation"", ""Reduce Overall Phone Use"", ""Set Rules or Goals""]"
23354446,Change Talk,"[""Physical Separation"", ""Replace with Other Activities"", ""Set Rules or Goals"", ""Social Accountability""]"
23398424,Change Talk,"[""Replace with Other Activities""]"
23400567,Change Talk,"[""Built-in Tracking/Restriction"", ""Physical Separation"", ""Replace with Other Activities"", ""Set Rules or Goals""]"
23443349,Change Talk,"[""Physical Separation""]"
23738046,Persuasion,"[""Modify Notifications"", ""Reduce Overall Phone Use"", ""Set Rules or Goals""]"
23772438,Ambivalence,"[""Curate Feed/Content"", ""Set Rules or Goals""]"
23845880,Ambivalence,"[""Built-in Tracking/Restriction"", ""Set Rules or Goals""]"
23867184,Persuasion,"[""Set Rules or Goals"", ""Third-Party Blocker""]"
23984649,Change Talk,"[""Replace with Other Activities"", ""Willpower and Discipline""]"
24161231,Change Talk,"[""Replace with Other Activities"", ""Willpower and Discipline""]"
24164851,Persuasion,"[""Built-in Tracking/Restriction"", ""Set Rules or Goals""]"
24389010,Change Talk,"[""Set Rules or Goals"", ""Willpower and Discipline""]"
24394933,Persuasion,"[""Replace with Other Activities"", ""Set Rules or Goals""]"
24461108,Persuasion,"[""Built-in Tracking/Restriction"", ""Set Rules or Goals""]"
24477696,Persuasion,"[""Set Rules or Goals""]"
24555218,Persuasion,"[""Replace with Other Activities"", ""Set Rules or Goals""]"
24591001,Ambivalence,"[""Replace with Other Activities"", ""Set Rules or Goals""]"
24625845,Persuasion,"[""Set Rules or Goals""]"
24830241,Ambivalence,"[""Curate Feed/Content"", ""Willpower and Discipline""]"
24895320,Ambivalence,"[""Set Rules or Goals""]"
24976894,Change Talk,"[""Set Rules or Goals"", ""Willpower and Discipline""]"
25021525,Change Talk,"[""Modify Notifications""]"
25024449,Change Talk,"[""Set Rules or Goals""]"
25117011,Persuasion,"[""Built-in Tracking/Restriction"", ""Reduce Overall Phone Use"", ""Set Rules or Goals"", ""Social Accountability""]"
25300174,Persuasion,"[""Built-in Tracking/Restriction"", ""Set Rules or Goals""]"
25404911,Change Talk,"[""Set Rules or Goals""]"
25604099,Change Talk,"[""Delete or Deactivate""]"
25663239,Change Talk,[]
25713460,Change Talk,"[""Set Rules or Goals""]"
25738540,Ambivalence,"[""Set Rules or Goals""]"
25754865,Ambivalence,"[""Set Rules or Goals""]"
25755432,Persuasion,"[""Delete or Deactivate"", ""Set Rules or Goals"", ""Willpower and Discipline""]"
25828521,Change Talk,"[""Set Rules or Goals""]"
25870007,Ambivalence,"[""Set Rules or Goals"", ""Reduce Overall Phone Use"", ""Replace with Other Activities""]"
25910945,Ambivalence,"[""Curate Feed/Content"", ""Replace with Other Activities"", ""Set Rules or Goals""]"
26016594,Ambivalence,"[""Built-in Tracking/Restriction"", ""Willpower and Discipline""]"
26079610,Ambivalence,"[""Set Rules or Goals"", ""Willpower and Discipline""]"
26084987,Ambivalence,"[""Physical Separation"", ""Replace with Other Activities"", ""Set Rules or Goals""]"
26135189,Ambivalence,"[""Third-Party Blocker"", ""Set Rules or Goals""]"
26160738,Ambivalence,"[""Increase Access Friction"", ""Set Rules or Goals""]"
26249443,Persuasion,"[""Set Rules or Goals"", ""Physical Separation""]"
26339108,Ambivalence,"[""Replace with Other Activities""]"
26364441,Ambivalence,"[""Delete or Deactivate"", ""Replace with Other Activities""]"
26365240,Persuasion,"[""Replace with Other Activities"", ""Set Rules or Goals""]"
26502628,Ambivalence,"[""Physical Separation"", ""Set Rules or Goals"", ""Willpower and Discipline""]"
26549330,Ambivalence,"[""Third-Party Blocker"", ""Set Rules or Goals""]"
26580100,Ambivalence,"[""Built-in Tracking/Restriction"", ""Set Rules or Goals"", ""Willpower and Discipline""]"
26743031,Persuasion,"[""Delete or Deactivate"", ""Set Rules or Goals""]"
26751803,Change Talk,"[""Reduce Overall Phone Use"", ""Replace with Other Activities"", ""Set Rules or Goals""]"
26784986,Change Talk,"[""Physical Separation"", ""Replace with Other Activities"", ""Set Rules or Goals""]"
26928315,Persuasion,"[""Set Rules or Goals"", ""Third-Party Blocker""]"
26939983,Change Talk,"[""Replace with Other Activities"", ""Set Rules or Goals""]"
27000384,Change Talk,"[""Physical Separation""]"
27021599,Change Talk,"[""Reduce Overall Phone Use"", ""Replace with Other Activities"", ""Set Rules or Goals"", ""Willpower and Discipline""]"
27137171,Persuasion,"[""Built-in Tracking/Restriction"", ""Set Rules or Goals"", ""Willpower and Discipline""]"
27219187,Persuasion,"[""Set Rules or Goals"", ""Replace with Other Activities"", ""Delete or Deactivate""]"
27247292,Change Talk,"[""Physical Separation"", ""Set Rules or Goals""]"
27248664,Persuasion,"[""Built-in Tracking/Restriction"", ""Delete or Deactivate"", ""Set Rules or Goals""]"
27306634,Change Talk,"[""Built-in Tracking/Restriction"", ""Set Rules or Goals""]"
27416356,Persuasion,"[""Built-in Tracking/Restriction"", ""Delete or Deactivate"", ""Reduce Overall Phone Use"", ""Replace with Other Activities"", ""Set Rules or Goals""]"
27436427,Ambivalence,"[""Increase Access Friction""]"
27450514,Change Talk,"[""Delete or Deactivate""]"
27637568,Persuasion,"[""Delete or Deactivate""]"
27733835,Ambivalence,"[""Physical Separation"", ""Set Rules or Goals""]"
27774790,Ambivalence,"[""Set Rules or Goals"", ""Willpower and Discipline""]"
27904502,Ambivalence,"[""Modify Notifications"", ""Physical Separation"", ""Reduce Overall Phone Use"", ""Replace with Other Activities""]"
27905527,Change Talk,"[""Reduce Overall Phone Use"", ""Replace with Other Activities"", ""Set Rules or Goals""]"
27910276,Ambivalence,"[""Replace with Other Activities""]"
27991973,Ambivalence,"[""Curate Feed/Content"", ""Delete or Deactivate"", ""Willpower and Discipline""]"
28130686,Persuasion,"[""Willpower and Discipline""]"
28202873,Ambivalence,"[""Replace with Other Activities"", ""Social Accountability""]"
28285692,Ambivalence,"[""Built-in Tracking/Restriction"", ""Set Rules or Goals""]"
28367157,Persuasion,"[""Reduce Overall Phone Use"", ""Set Rules or Goals""]"
28460599,Change Talk,"[""Willpower and Discipline""]"
28532680,Ambivalence,"[""Delete or Deactivate""]"
28598923,Ambivalence,"[""Replace with Other Activities"", ""Set Rules or Goals""]"
28617349,Persuasion,"[""Delete or Deactivate"", ""Replace with Other Activities"", ""Set Rules or Goals""]"
28653663,Persuasion,"[""Set Rules or Goals""]"
28787805,Persuasion,"[""Built-in Tracking/Restriction"", ""Set Rules or Goals""]"
28799272,Change Talk,"[""Replace with Other Activities"", ""Physical Separation""]"
28874009,Change Talk,"[""Delete or Deactivate"", ""Replace with Other Activities"", ""Set Rules or Goals"", ""Willpower and Discipline""]"
28896168,Ambivalence,"[""Built-in Tracking/Restriction"", ""Replace with Other Activities"", ""Set Rules or Goals"", ""Willpower and Discipline""]"
28941069,Ambivalence,"[""Set Rules or Goals""]"
28972082,Ambivalence,"[""Replace with Other Activities""]"
29075491,Persuasion,"[""Replace with Other Activities"", ""Willpower and Discipline""]"
29100432,Ambivalence,"[""Replace with Other Activities"", ""Set Rules or Goals""]"
29115958,Persuasion,"[""Built-in Tracking/Restriction"", ""Physical Separation"", ""Set Rules or Goals""]"
29149131,Ambivalence,"[""Physical Separation"", ""Set Rules or Goals""]"
29251294,Persuasion,"[""Delete or Deactivate"", ""Set Rules or Goals"", ""Replace with Other Activities""]"
29291152,Persuasion,"[""Built-in Tracking/Restriction"", ""Set Rules or Goals""]"
29311031,Change Talk,"[""Physical Separation"", ""Replace with Other Activities"", ""Set Rules or Goals"", ""Willpower and Discipline""]"
29340235,Persuasion,"[""Replace with Other Activities"", ""Set Rules or Goals"", ""Willpower and Discipline""]"
29347386,Change Talk,"[""Physical Separation""]"
29410048,Change Talk,"[""Increase Access Friction"", ""Replace with Other Activities"", ""Third-Party Blocker"", ""Willpower and Discipline""]"
29497853,Persuasion,"[""Built-in Tracking/Restriction"", ""Set Rules or Goals""]"
29535207,Persuasion,"[""Built-in Tracking/Restriction"", ""Physical Separation"", ""Set Rules or Goals""]"
29566157,Change Talk,"[""Delete or Deactivate"", ""Set Rules or Goals"", ""Willpower and Discipline""]"
29589091,Change Talk,"[""Built-in Tracking/Restriction"", ""Set Rules or Goals""]"
29723499,Persuasion,"[""Set Rules or Goals""]"
29817725,Persuasion,"[""Set Rules or Goals""]"
29940517,Persuasion,"[""Set Rules or Goals""]"
29943691,Ambivalence,"[""Set Rules or Goals""]"
29953832,Ambivalence,"[""Physical Separation"", ""Set Rules or Goals""]"
29975011,Ambivalence,"[""Physical Separation"", ""Reduce Overall Phone Use"", ""Set Rules or Goals"", ""Social Accountability""]"
30123449,Persuasion,"[""Increase Access Friction"", ""Replace with Other Activities"", ""Set Rules or Goals""]"
30251996,Ambivalence,"[""Built-in Tracking/Restriction"", ""Increase Access Friction"", ""Delete or Deactivate"", ""Set Rules or Goals""]"
30259482,Change Talk,"[""Physical Separation"", ""Set Rules or Goals""]"
30343039,Persuasion,"[""Replace with Other Activities"", ""Set Rules or Goals"", ""Willpower and Discipline""]"
30367354,Ambivalence,"[""Replace with Other Activities""]"
30459785,Ambivalence,"[""Built-in Tracking/Restriction"", ""Replace with Other Activities"", ""Set Rules or Goals""]"
30505406,Change Talk,"[""Physical Separation"", ""Set Rules or Goals"", ""Replace with Other Activities"", ""Reduce Overall Phone Use""]"
30532153,Change Talk,"[""Reduce Overall Phone Use"", ""Replace with Other Activities"", ""Set Rules or Goals"", ""Willpower and Discipline""]"
30555742,Persuasion,"[""Built-in Tracking/Restriction"", ""Set Rules or Goals""]"
30618390,Change Talk,"[""Replace with Other Activities""]"
30739346,Change Talk,"[""Built-in Tracking/Restriction"", ""Replace with Other Activities"", ""Set Rules or Goals""]"
30742868,Change Talk,"[""Delete or Deactivate"", ""Increase Access Friction"", ""Willpower and Discipline""]"
30872038,Change Talk,"[""Replace with Other Activities"", ""Set Rules or Goals""]"
30949973,Persuasion,"[""Physical Separation"", ""Set Rules or Goals""]"
30987216,Persuasion,"[""Built-in Tracking/Restriction"", ""Set Rules or Goals""]"
31029850,Persuasion,[]
31036647,Persuasion,"[""Replace with Other Activities"", ""Delete or Deactivate"", ""Set Rules or Goals""]"
31066754,Persuasion,"[""Set Rules or Goals""]"
31127526,Persuasion,"[""Built-in Tracking/Restriction"", ""Physical Separation"", ""Set Rules or Goals""]"
31229595,Persuasion,"[""Built-in Tracking/Restriction"", ""Set Rules or Goals"", ""Willpower and Discipline""]"
31231668,Persuasion,"[""Third-Party Blocker"", ""Set Rules or Goals""]"
31331063,Persuasion,"[""Set Rules or Goals"", ""Social Accountability"", ""Reduce Overall Phone Use""]"
31354493,Change Talk,"[""Replace with Other Activities""]"
31367321,Change Talk,"[""Physical Separation"", ""Reduce Overall Phone Use"", ""Replace with Other Activities"", ""Set Rules or Goals""]"
31420170,Persuasion,"[""Built-in Tracking/Restriction"", ""Set Rules or Goals"", ""Social Accountability""]"
31427062,Change Talk,"[""Physical Separation"", ""Set Rules or Goals"", ""Willpower and Discipline""]"
31505282,Persuasion,"[""Modify Notifications"", ""Set Rules or Goals"", ""Physical Separation"", ""Replace with Other Activities""]"
31547379,Persuasion,"[""Set Rules or Goals""]"
31563533,Persuasion,"[""Built-in Tracking/Restriction"", ""Set Rules or Goals""]"
31571935,Change Talk,"[""Replace with Other Activities"", ""Set Rules or Goals""]"
31648577,Change Talk,"[""Built-in Tracking/Restriction"", ""Set Rules or Goals"", ""Replace with Other Activities""]"
31812567,Change Talk,"[""Set Rules or Goals"", ""Willpower and Discipline""]"
31883067,Ambivalence,"[""Built-in Tracking/Restriction"", ""Set Rules or Goals""]"
31884719,Ambivalence,"[""Delete or Deactivate""]"
31991500,Persuasion,"[""Built-in Tracking/Restriction"", ""Physical Separation"", ""Set Rules or Goals""]"
32009894,Ambivalence,"[""Built-in Tracking/Restriction"", ""Set Rules or Goals""]"
32015629,Persuasion,"[""Physical Separation"", ""Replace with Other Activities"", ""Set Rules or Goals"", ""Third-Party Blocker""]"
32025646,Ambivalence,"[""Physical Separation""]"
32107453,Ambivalence,"[""Set Rules or Goals""]"
32221700,Persuasion,"[""Replace with Other Activities"", ""Set Rules or Goals""]"
32277027,Persuasion,"[""Built-in Tracking/Restriction"", ""Set Rules or Goals""]"
32325591,Change Talk,"[""Set Rules or Goals"", ""Willpower and Discipline""]"
32402932,Ambivalence,"[""Third-Party Blocker"", ""Willpower and Discipline"", ""Set Rules or Goals""]"
32420390,Persuasion,"[""Physical Separation"", ""Set Rules or Goals"", ""Willpower and Discipline""]"
32447130,Persuasion,"[""Built-in Tracking/Restriction"", ""Delete or Deactivate"", ""Set Rules or Goals""]"
32448181,Persuasion,"[""Built-in Tracking/Restriction"", ""Set Rules or Goals""]"
32469320,Persuasion,"[""Built-in Tracking/Restriction"", ""Replace with Other Activities"", ""Set Rules or Goals""]"
32489284,Ambivalence,"[""Increase Access Friction"", ""Set Rules or Goals""]"
32685069,Persuasion,"[""Set Rules or Goals""]"
32698687,Ambivalence,"[""Replace with Other Activities""]"
32811896,Change Talk,"[""Reduce Overall Phone Use"", ""Set Rules or Goals""]"
32937484,Ambivalence,"[""Replace with Other Activities"", ""Set Rules or Goals""]"
32962630,Persuasion,"[""Set Rules or Goals""]"
33019672,Change Talk,"[""Set Rules or Goals"", ""Willpower and Discipline""]"
33035761,Ambivalence,"[""Physical Separation"", ""Reduce Overall Phone Use"", ""Replace with Other Activities""]"
33040054,Change Talk,"[""Delete or Deactivate"", ""Set Rules or Goals"", ""Replace with Other Activities""]"
33088970,Change Talk,"[""Willpower and Discipline"", ""Reduce Overall Phone Use""]"
33163530,Ambivalence,"[""Built-in Tracking/Restriction"", ""Reduce Overall Phone Use"", ""Replace with Other Activities"", ""Set Rules or Goals""]"
33206796,Persuasion,"[""Delete or Deactivate"", ""Increase Access Friction"", ""Built-in Tracking/Restriction"", ""Set Rules or Goals"", ""Modify Notifications""]"
33239660,Ambivalence,"[""Built-in Tracking/Restriction"", ""Set Rules or Goals"", ""Third-Party Blocker""]"
33246912,Persuasion,"[""Built-in Tracking/Restriction"", ""Set Rules or Goals""]"
33335955,Change Talk,"[""Replace with Other Activities"", ""Set Rules or Goals""]"
33349448,Change Talk,"[""Reduce Overall Phone Use"", ""Set Rules or Goals""]"
33397043,Persuasion,"[""Physical Separation"", ""Willpower and Discipline"", ""Set Rules or Goals"", ""Replace with Other Activities""]"
33456350,Persuasion,"[""Willpower and Discipline"", ""Built-in Tracking/Restriction"", ""Set Rules or Goals"", ""Modify Notifications"", ""Physical Separation"", ""Reduce Overall Phone Use"", ""Replace with Other Activities""]"
33482225,Persuasion,"[""Built-in Tracking/Restriction"", ""Set Rules or Goals"", ""Willpower and Discipline""]"
33576930,Persuasion,"[""Set Rules or Goals""]"
33668335,Persuasion,"[""Built-in Tracking/Restriction"", ""Curate Feed/Content"", ""Modify Notifications"", ""Replace with Other Activities"", ""Set Rules or Goals""]"
33745779,Change Talk,"[""Replace with Other Activities"", ""Set Rules or Goals"", ""Willpower and Discipline""]"
33875628,Ambivalence,"[""Curate Feed/Content"", ""Willpower and Discipline""]"
34116899,Change Talk,"[""Replace with Other Activities"", ""Set Rules or Goals""]"
34182661,Change Talk,"[""Set Rules or Goals"", ""Delete or Deactivate""]"
34183778,Persuasion,"[""Built-in Tracking/Restriction"", ""Replace with Other Activities"", ""Set Rules or Goals"", ""Willpower and Discipline""]"
34259659,Ambivalence,"[""Delete or Deactivate"", ""Willpower and Discipline""]"
34278797,Ambivalence,"[""Set Rules or Goals"", ""Replace with Other Activities""]"
34385015,Persuasion,"[""Third-Party Blocker"", ""Reduce Overall Phone Use"", ""Set Rules or Goals""]"
34433641,Ambivalence,"[""Willpower and Discipline""]"
34483131,Persuasion,"[""Third-Party Blocker"", ""Set Rules or Goals"", ""Willpower and Discipline""]"
34564594,Persuasion,[]
34604423,Ambivalence,"[""Set Rules or Goals"", ""Replace with Other Activities""]"
34631927,Change Talk,"[""Third-Party Blocker"", ""Replace with Other Activities"", ""Set Rules or Goals""]"
34648713,Change Talk,"[""Replace with Other Activities""]"
34671863,Change Talk,"[""Physical Separation"", ""Reduce Overall Phone Use"", ""Set Rules or Goals""]"
34731123,Ambivalence,"[""Set Rules or Goals""]"
34751776,Change Talk,"[""Built-in Tracking/Restriction"", ""Increase Access Friction"", ""Set Rules or Goals""]"
34810928,Change Talk,"[""Replace with Other Activities"", ""Set Rules or Goals""]"
34818306,Persuasion,"[""Set Rules or Goals""]"
34822315,Persuasion,"[""Physical Separation"", ""Replace with Other Activities"", ""Set Rules or Goals""]"
35045180,Ambivalence,"[""Built-in Tracking/Restriction"", ""Set Rules or Goals"", ""Replace with Other Activities"", ""Willpower and Discipline""]"
35056740,Change Talk,"[""Set Rules or Goals""]"
35089872,Ambivalence,"[""Built-in Tracking/Restriction"", ""Delete or Deactivate"", ""Set Rules or Goals"", ""Willpower and Discipline""]"
35096983,Ambivalence,"[""Reduce Overall Phone Use"", ""Replace with Other Activities"", ""Set Rules or Goals"", ""Willpower and Discipline""]"
35108144,Change Talk,"[""Set Rules or Goals"", ""Willpower and Discipline""]"
35240470,Persuasion,"[""Delete or Deactivate"", ""Set Rules or Goals""]"
35241220,Ambivalence,"[""Built-in Tracking/Restriction"", ""Set Rules or Goals""]"
35251836,Change Talk,"[""Modify Notifications"", ""Physical Separation"", ""Set Rules or Goals""]"
35261977,Ambivalence,[]
35263931,Persuasion,"[""Set Rules or Goals""]"
35303903,Change Talk,"[""Replace with Other Activities"", ""Set Rules or Goals""]"
35321604,Change Talk,"[""Built-in Tracking/Restriction"", ""Replace with Other Activities"", ""Set Rules or Goals""]"
35510486,Change Talk,"[""Set Rules or Goals"", ""Delete or Deactivate""]"
35590821,Ambivalence,"[""Replace with Other Activities"", ""Set Rules or Goals""]"
35645924,Change Talk,[]
35698413,Change Talk,"[""Set Rules or Goals"", ""Willpower and Discipline""]"
35698940,Persuasion,"[""Set Rules or Goals""]"
35829300,Change Talk,"[""Physical Separation""]"
35839758,Change Talk,"[""Built-in Tracking/Restriction"", ""Set Rules or Goals""]"
35932913,Ambivalence,"[""Built-in Tracking/Restriction"", ""Set Rules or Goals""]"
35948474,Persuasion,"[""Delete or Deactivate""]"
35966952,Persuasion,"[""Reduce Overall Phone Use"", ""Set Rules or Goals""]"
36073650,Ambivalence,"[""Set Rules or Goals""]"
36087360,Ambivalence,[]
36130172,Change Talk,"[""Built-in Tracking/Restriction"", ""Physical Separation"", ""Reduce Overall Phone Use"", ""Set Rules or Goals""]"
36139806,Change Talk,"[""Physical Separation"", ""Replace with Other Activities"", ""Set Rules or Goals""]"
36213007,Change Talk,"[""Set Rules or Goals""]"
36230602,Ambivalence,"[""Replace with Other Activities"", ""Set Rules or Goals""]"
36410889,Persuasion,"[""Curate Feed/Content"", ""Set Rules or Goals""]"
36423210,Ambivalence,"[""Set Rules or Goals"", ""Willpower and Discipline""]"
36528417,Persuasion,"[""Set Rules or Goals"", ""Social Accountability""]"
36534848,Persuasion,"[""Set Rules or Goals""]"
36546230,Persuasion,"[""Built-in Tracking/Restriction"", ""Modify Notifications"", ""Set Rules or Goals""]"
36554180,Ambivalence,"[""Delete or Deactivate"", ""Increase Access Friction"", ""Replace with Other Activities""]"
36567212,Persuasion,"[""Built-in Tracking/Restriction"", ""Set Rules or Goals""]"
36601694,Persuasion,"[""Replace with Other Activities"", ""Set Rules or Goals"", ""Reduce Overall Phone Use""]"
36632928,Persuasion,"[""Built-in Tracking/Restriction"", ""Physical Separation"", ""Set Rules or Goals""]"
36648538,Change Talk,"[""Built-in Tracking/Restriction"", ""Set Rules or Goals"", ""Willpower and Discipline""]"
36656880,Change Talk,"[""Curate Feed/Content"", ""Willpower and Discipline""]"
36695754,Persuasion,"[""Physical Separation"", ""Set Rules or Goals"", ""Replace with Other Activities""]"
36720522,Ambivalence,"[""Set Rules or Goals"", ""Willpower and Discipline""]"
36837603,Ambivalence,"[""Willpower and Discipline"", ""Set Rules or Goals""]"
36854376,Ambivalence,"[""Modify Notifications"", ""Physical Separation"", ""Reduce Overall Phone Use"", ""Set Rules or Goals""]"
36916707,Persuasion,"[""Built-in Tracking/Restriction"", ""Set Rules or Goals"", ""Willpower and Discipline""]"
36983888,Persuasion,"[""Replace with Other Activities"", ""Set Rules or Goals""]"
36990814,Persuasion,"[""Set Rules or Goals""]"
37115501,Ambivalence,"[""Increase Access Friction"", ""Delete or Deactivate"", ""Built-in Tracking/Restriction"", ""Set Rules or Goals""]"
37265217,Ambivalence,"[""Set Rules or Goals"", ""Replace with Other Activities"", ""Willpower and Discipline""]"
37265866,Change Talk,"[""Replace with Other Activities"", ""Set Rules or Goals"", ""Third-Party Blocker"", ""Willpower and Discipline""]"
37362963,Persuasion,"[""Built-in Tracking/Restriction"", ""Set Rules or Goals""]"
37397584,Change Talk,"[""Physical Separation"", ""Willpower and Discipline""]"
37488683,Persuasion,"[""Built-in Tracking/Restriction"", ""Set Rules or Goals""]"
37513803,Change Talk,"[""Willpower and Discipline""]"
37572076,Ambivalence,"[""Set Rules or Goals""]"
37603741,Ambivalence,"[""Delete or Deactivate"", ""Increase Access Friction""]"
37672857,Persuasion,"[""Built-in Tracking/Restriction"", ""Set Rules or Goals""]"
37768950,Ambivalence,[]
37799785,Ambivalence,"[""Delete or Deactivate""]"
37819018,Persuasion,"[""Set Rules or Goals""]"
37819132,Change Talk,"[""Replace with Other Activities"", ""Set Rules or Goals""]"
37829261,Change Talk,"[""Replace with Other Activities"", ""Set Rules or Goals"", ""Willpower and Discipline""]"
37833465,Change Talk,"[""Delete or Deactivate"", ""Replace with Other Activities"", ""Willpower and Discipline""]"
37838903,Ambivalence,"[""Curate Feed/Content"", ""Replace with Other Activities""]"
37882335,Ambivalence,"[""Set Rules or Goals""]"
37885092,Ambivalence,"[""Built-in Tracking/Restriction""]"
37914988,Change Talk,"[""Physical Separation""]"
37936336,Change Talk,"[""Set Rules or Goals""]"
37946742,Persuasion,"[""Built-in Tracking/Restriction"", ""Set Rules or Goals""]"
38047749,Change Talk,"[""Physical Separation"", ""Set Rules or Goals""]"
38058779,Change Talk,"[""Physical Separation"", ""Increase Access Friction"", ""Set Rules or Goals""]"
38124802,Persuasion,"[""Willpower and Discipline""]"
38190019,Ambivalence,"[""Set Rules or Goals""]"
38222163,Ambivalence,"[""Reduce Overall Phone Use""]"
38359500,Ambivalence,[]
38370419,Change Talk,"[""Set Rules or Goals""]"
38381765,Persuasion,"[""Set Rules or Goals"", ""Third-Party Blocker""]"
38398010,Persuasion,"[""Built-in Tracking/Restriction"", ""Replace with Other Activities"", ""Set Rules or Goals"", ""Social Accountability""]"
38483696,Persuasion,"[""Replace with Other Activities"", ""Set Rules or Goals""]"
38545335,Change Talk,"[""Set Rules or Goals"", ""Replace with Other Activities"", ""Willpower and Discipline""]"
38554362,Ambivalence,"[""Curate Feed/Content""]"
38623681,Persuasion,"[""Built-in Tracking/Restriction"", ""Set Rules or Goals""]"
38643996,Persuasion,"[""Set Rules or Goals""]"
38739328,Change Talk,"[""Reduce Overall Phone Use"", ""Replace with Other Activities""]"
38891617,Change Talk,"[""Physical Separation"", ""Replace with Other Activities"", ""Set Rules or Goals"", ""Willpower and Discipline""]"
38905362,Change Talk,"[""Delete or Deactivate"", ""Replace with Other Activities""]"
38910290,Change Talk,"[""Replace with Other Activities"", ""Set Rules or Goals"", ""Willpower and Discipline""]"
38968743,Persuasion,"[""Built-in Tracking/Restriction"", ""Set Rules or Goals""]"
39607837,Persuasion,"[""Set Rules or Goals"", ""Willpower and Discipline""]"
39637114,Change Talk,[]
39656481,Change Talk,"[""Reduce Overall Phone Use"", ""Replace with Other Activities"", ""Set Rules or Goals"", ""Social Accountability""]"
39715508,Persuasion,"[""Modify Notifications"", ""Set Rules or Goals""]"
39810566,Ambivalence,"[""Willpower and Discipline"", ""Set Rules or Goals""]"
39911385,Persuasion,"[""Built-in Tracking/Restriction"", ""Set Rules or Goals""]"
39968293,Change Talk,"[""Replace with Other Activities""]"
40042260,Change Talk,"[""Set Rules or Goals""]"
40084889,Change Talk,"[""Built-in Tracking/Restriction"", ""Set Rules or Goals""]"
40108241,Change Talk,"[""Delete or Deactivate"", ""Willpower and Discipline""]"
40145721,Persuasion,"[""Replace with Other Activities"", ""Set Rules or Goals"", ""Curate Feed/Content"", ""Willpower and Discipline""]"
40188814,Ambivalence,"[""Set Rules or Goals""]"
